OrderID,CustomerID,OrderDay,CityTier,State,Category,OrderValue,DiscountPct,PaymentMethod,Device,AddressQuality,OrderHour,Items,PriorOrders,PriorReturns,DeliveryStatus
ORD104253,CUST12148,252,TIER-2,Andhra Pradesh,Accessories,"1,127",34,Prepaid,Android App,Complete,10,3,1,0,Delivered
ORD101944,CUST11530,65,tier1,Punjab,Beauty,"1,393",22%,Prepaid,Android App,Complete,6,1,1,0,Delivered
ORD107010,CUST10237,320,tier3,Bihar,Fashion,"1,112",29%,Prepaid,Android App,Complete,9,2,5,0,Delivered
ORD106867,CUST10350,65,Tier 2,  Bihar ,Electronics,"8,224",33,COD,Desktop,Partial,7,2,0,0,Delivered
ORD105384,CUST11033,177,T3,Assam,Fashion,"1,127",30%,Prepaid,Android App,Vague,3,3,1,0,Delivered
ORD102446,CUST11366,359,tier3,Rajasthan,Fashion,"2,779",34%,COD,iOS App,Vague,7,1,0,0,Returned
ORD105353,CUST10017,301,T2,Haryana,Accessories,"INR 1,293",41,Prepaid,Android App,Partial,0,1,1,1,Delivered
ORD100712,CUST12274,300,tier2,bihar,Accessories,Rs.579,19%,COD,Android App,Complete,19,3,2,0,Delivered
ORD102743,CUST11850,51,T1,Bihar,Electronics,"5,733",8,COD,Android App,Complete,10,2,1,0,Delivered
ORD106741,CUST12586,196,T2,West Bengal,Footwear,"2,549",8%,COD,Android App,Complete,17,3,2,1,Delivered
ORD100958,CUST11193,300,T1,Haryana,Accessories,"1,682",35%,Prepaid,Android App,Partial,9,1,4,0,Delivered
ORD101856,CUST12000,307,tier2,Punjab,Footwear,"Rs.1,218",13%,Prepaid,Android App,Partial,9,3,1,0,Delivered
ORD101289,CUST11050,273,tier1,Rajasthan,Health,"1,075",0%,COD,Desktop,Complete,14,1,3,2,Delivered
ORD104064,CUST11681,138,Tier-1,Madhya Pradesh,Electronics,"INR 8,924",19,Prepaid,Android App,Partial,23,2,0,0,Delivered
ORD106666,CUST10714,157,TIER-3,Haryana,Fashion,"Rs 1,257",35,COD,Android App,Complete,16,3,2,0,Delivered
ORD105982,CUST11270,123,Tier-1,KERALA,Footwear,"1,702",19%,Prepaid,Desktop,Complete,22,1,0,0,Delivered
ORD104076,CUST10593,265,Tier-1,Delhi,Accessories,"Rs 1,703",34,COD,iOS App,Vague,16,2,0,0,Delivered
ORD101724,CUST12124,74,Tier-1,Punjab,Footwear,"Rs 2,438",37,COD,Android App,Complete,9,3,0,0,Returned
ORD103673,CUST12228,67,tier1,Jharkhand,Health,"1,730",6%,Prepaid,Android App,Partial,7,2,0,0,Delivered
ORD101494,CUST10962,300,Tier 3,Maharashtra,Beauty,Rs 380,15%,Prepaid,Desktop,Partial,10,1,1,1,Returned
ORD104737,CUST12312,326,tier3,Gujarat,Accessories,"1,794",5%,COD,,Complete,9,1,1,0,Delivered
ORD100916,CUST11998,141,TIER-1,Andhra Pradesh,Home & Kitchen,Rs.629,11%,COD,iOS App,Complete,6,2,1,1,Delivered
ORD103881,CUST10488,50,Tier 1,Jharkhand,Fashion,"Rs 1,101",18,COD,iOS App,Complete,17,2,0,0,Delivered
ORD102720,CUST11313,119,TIER-1,Bihar,Fashion,Rs.706,2%,COD,Android App,Complete,15,3,0,0,Returned
ORD103034,CUST12284,154,T1,Odisha,Fashion,"1,581",24%,COD,Mobile Web,Complete,7,3,1,0,Returned
ORD103291,CUST10162,310,Tier-1,Maharashtra,Health,"1,498",35,Prepaid,Mobile Web,Complete,0,2,3,0,Delivered
ORD104077,CUST10075,0,tier1,MADHYA PRADESH,Footwear,"Rs 2,963",32,COD,iOS App,Complete,6,1,0,0,Delivered
ORD104598,CUST10727,251,TIER-2,Punjab,Accessories,"1,723",19,Prepaid,Android App,Partial,19,1,1,0,Delivered
ORD106456,CUST10810,97,tier3,Telangana,Beauty,"Rs 1,010",25,Prepaid,Android App,Vague,17,1,1,0,Delivered
ORD105543,CUST11235,13,TIER-2,andhra pradesh,Beauty,Rs.533,10,COD,Android App,Vague,17,1,1,1,Returned
ORD101721,CUST10831,342,Tier 3,west bengal,Electronics,"10,978",35,Prepaid,,Partial,1,1,4,1,Delivered
ORD103017,CUST11822,352,TIER-2,Odisha,Footwear,INR 733,51%,COD,Android App,Complete,22,1,3,0,Delivered
ORD105286,CUST10421,321,T2,Delhi,Fashion,"1,143",28%,Prepaid,Android App,Partial,8,2,2,2,Returned
ORD103688,CUST11043,143,tier1,Assam,Electronics,"13,802",10,COD,Android App,Complete,12,1,3,1,Delivered
ORD103419,CUST10660,314,TIER-2,HARYANA,Accessories,"1,308",23,COD,Android App,Complete,1,1,1,0,Delivered
ORD102251,CUST10917,277,tier1,Odisha,Fashion,Rs 804,29%,COD,Desktop,Complete,21,2,1,0,Delivered
ORD105809,CUST12321,261,Tier 1,ANDHRA PRADESH,Fashion,"INR 2,736",27%,COD,iOS App,Complete,7,1,0,0,Returned
ORD106883,CUST12511,7,Tier 1,Delhi,Footwear,"1,731",22%,Prepaid,Android App,Complete,1,3,0,0,Delivered
ORD105035,CUST10278,338,T3,Maharashtra,Accessories,INR 664,21,COD,Android App,,22,1,1,0,Delivered
ORD102277,CUST12170,38,Tier-3,KARNATAKA,Fashion,"2,885",21,COD,Android App,Partial,23,2,0,0,Delivered
ORD106552,CUST11406,114,T3,TAMIL NADU,Beauty,"1,213",10%,COD,Android App,,19,2,2,1,Delivered
ORD106825,CUST11921,29,tier1,Punjab,Electronics,"10,235",28%,Prepaid,iOS App,Complete,21,2,1,0,Delivered
ORD101759,CUST12499,310,Tier-2,Jharkhand,Fashion,"Rs.2,623",39%,COD,Desktop,Partial,8,1,2,0,Delivered
ORD100002,CUST11647,60,T3,Jharkhand,Accessories,360,13%,COD,Mobile Web,Vague,3,2,1,1,Returned
ORD100033,CUST12253,330,Tier-3,Tamil Nadu,Beauty,303,16%,COD,Mobile Web,Vague,13,2,4,3,Delivered
ORD100145,CUST10922,56,tier2,Kerala,Fashion,"INR 1,514",24,Prepaid,Android App,Complete,14,2,1,1,Delivered
ORD102160,CUST10198,231,Tier-2,WEST BENGAL,Health,349,42,COD,Android App,Partial,21,3,1,0,Delivered
ORD104344,CUST11028,82,TIER-1,Delhi,Beauty,952,8,COD,iOS App,Complete,8,2,0,0,Delivered
ORD106083,CUST10085,163,Tier 1,KERALA,Fashion,"2,552",23,Prepaid,Mobile Web,Complete,18,1,1,0,Delivered
ORD101343,CUST12166,332,tier1,Maharashtra,Footwear,Rs 795,31%,Prepaid,iOS App,Complete,15,1,5,0,Delivered
ORD100303,CUST11299,46,T1,Haryana,Beauty,Rs 986,14,COD,Mobile Web,Complete,9,2,0,0,Delivered
ORD101800,CUST12201,53,T3,Delhi,Fashion,"2,947",16,COD,Android App,Vague,6,3,0,0,Returned
ORD103322,CUST10038,338,Tier 2,KERALA,Fashion,"1,461",36,Prepaid,Android App,Complete,8,2,5,1,Delivered
ORD100941,CUST11561,46,Tier 2,Delhi,Fashion,"2,886",20%,Prepaid,iOS App,Complete,7,1,0,0,Delivered
ORD101950,CUST10295,131,TIER-2,bihar,Fashion,"Rs.1,317",18%,COD,Android App,Complete,0,1,4,0,Delivered
ORD104168,CUST10325,15,Tier-2,Uttar Pradesh,Fashion,Rs 623,9,COD,Android App,Partial,22,1,0,0,Delivered
ORD101365,CUST11570,206,Tier-3,Haryana,Beauty,951,11%,COD,Android App,Vague,16,1,1,0,Delivered
ORD104448,CUST11474,133,T1,Gujarat,Health,"1,181",0%,Prepaid,Desktop,Complete,7,1,2,0,Delivered
ORD103183,CUST11735,355,T3,odisha,Fashion,"2,751",12%,Prepaid,Android App,Vague,13,1,5,1,Delivered
ORD104161,CUST10597,208,tier1,Tamil Nadu,Electronics,"12,783",13%,Prepaid,Android App,Complete,22,3,2,0,Delivered
ORD105802,CUST10288,175,Tier-3,Andhra Pradesh,Home & Kitchen,"Rs.2,706",18,COD,Mobile Web,Complete,12,1,2,2,Delivered
ORD104028,CUST11162,305,Tier-1,Madhya Pradesh,Home & Kitchen,"Rs 2,128",32,Prepaid,Mobile Web,Complete,11,2,3,0,Delivered
ORD103155,CUST11310,266,Tier-1,Madhya Pradesh,Fashion,"2,000",29%,Prepaid,Mobile Web,Partial,15,2,4,0,Delivered
ORD105301,CUST11861,273,TIER-1,West Bengal,Fashion,"2,518",21,COD,Android App,Complete,20,1,2,0,Delivered
ORD103615,CUST10095,331,Tier 1,MADHYA PRADESH,Home & Kitchen,"4,663",27%,Prepaid,Android App,Complete,15,1,3,0,Delivered
ORD100854,CUST11211,54,tier1,Rajasthan,Footwear,"1,876",19,Prepaid,Android App,Complete,13,1,0,0,Delivered
ORD100989,CUST11956,23,TIER-2,  Maharashtra ,Fashion,"Rs.1,897",2,COD,Android App,,8,1,0,0,Delivered
ORD103305,CUST10693,232,Tier-3,Delhi,Electronics,"2,831",35,COD,Android App,Vague,10,2,1,0,Delivered
ORD102614,CUST11630,271,Tier-1,Assam,Footwear,"2,861",0,Prepaid,Android App,Complete,16,2,4,1,Delivered
ORD104030,CUST12303,349,Tier-1,Odisha,Fashion,704,31%,Prepaid,Android App,Complete,8,1,2,0,Delivered
ORD105869,CUST11912,347,Tier-2,Tamil Nadu,Home & Kitchen,"4,845",36,Prepaid,Android App,Complete,21,3,4,1,Delivered
ORD104136,CUST12564,28,Tier-2,  Kerala ,Footwear,"INR 2,120",14%,Prepaid,Android App,Complete,8,2,0,0,Delivered
ORD102378,CUST11854,245,Tier-2,Gujarat,Health,"INR 1,754",44,COD,Android App,Complete,17,1,3,0,Delivered
ORD105249,CUST10384,247,Tier-1,KARNATAKA,Fashion,"2,704",28,COD,,Complete,19,1,3,0,Delivered
ORD100868,CUST10984,326,tier3,Assam,Fashion,"2,994",31%,COD,Android App,Partial,0,1,1,0,Returned
ORD106485,CUST10998,148,tier2,DELHI,Electronics,"Rs 2,618",21%,COD,Android App,Partial,21,2,2,0,Delivered
ORD105625,CUST11747,195,tier1,Bihar,Electronics,"Rs 5,320",34,Prepaid,Android App,Complete,21,1,1,0,Delivered
ORD101583,CUST10112,2,TIER-3,Delhi,Home & Kitchen,"Rs.2,144",28%,Prepaid,Android App,Vague,12,2,0,0,Delivered
ORD102458,CUST11462,147,tier1,Kerala,Fashion,"2,361",31,COD,,Complete,4,3,1,1,Returned
ORD104301,CUST11961,113,Tier-2,Assam,Beauty,326,17,COD,Mobile Web,,18,2,1,1,Returned
ORD102782,CUST10229,340,TIER-1,West Bengal,Electronics,"4,584",23,Prepaid,Android App,Complete,6,1,1,0,Delivered
ORD101973,CUST10626,150,TIER-1,Maharashtra,Home & Kitchen,"1,373",11%,Prepaid,iOS App,Complete,8,2,0,0,Delivered
ORD100132,CUST11047,246,Tier 2,Andhra Pradesh,Electronics,"INR 1,986",43,COD,Mobile Web,Partial,16,2,1,1,Delivered
ORD100665,CUST10446,195,tier2,Uttar Pradesh,Footwear,INR 911,0%,COD,Mobile Web,,11,1,1,0,Delivered
ORD104321,CUST11093,69,tier1,West Bengal,Footwear,"Rs 2,293",2%,COD,Android App,Complete,16,2,2,0,Returned
ORD106002,CUST11431,186,Tier-2,uttar pradesh,Fashion,"1,354",0,COD,Mobile Web,Complete,2,2,3,0,Delivered
ORD106599,CUST10601,25,TIER-2,Assam,Fashion,"Rs.2,441",40%,Prepaid,Android App,Vague,1,1,0,0,Delivered
ORD107062,CUST11918,121,Tier 1,karnataka,Fashion,"Rs 2,808",41%,COD,Android App,Complete,13,1,1,0,Delivered
ORD104118,CUST11815,306,Tier-1,maharashtra,Home & Kitchen,"4,101",26%,COD,Android App,Partial,20,1,2,0,Delivered
ORD102062,CUST11715,354,Tier-3,Bihar,Fashion,876,2,Prepaid,Desktop,Complete,14,2,2,0,Delivered
ORD100714,CUST10845,79,tier3,Uttar Pradesh,Beauty,"Rs 1,345",35%,COD,Android App,Partial,1,1,2,0,Returned
ORD103700,CUST11365,51,TIER-3,MADHYA PRADESH,Accessories,"1,383",18%,COD,Android App,Partial,21,1,1,0,Delivered
ORD104835,CUST11663,187,Tier-1,Punjab,Beauty,"1,521",42,COD,Desktop,Complete,16,1,0,0,Delivered
ORD102183,CUST11089,309,tier1,madhya pradesh,Health,"1,474",25%,COD,iOS App,,23,1,1,1,Returned
ORD106369,CUST10536,3,tier2,WEST BENGAL,Home & Kitchen,"4,082",19%,COD,,,1,1,0,0,Delivered
ORD104575,CUST10954,46,Tier-3,Uttar Pradesh,Beauty,Rs.300,37%,COD,Android App,Vague,10,2,0,0,Delivered
ORD102331,CUST11433,127,T2,Madhya Pradesh,Beauty,391,24,COD,iOS App,Partial,15,2,1,0,Returned
ORD105622,CUST11406,305,Tier 3,Tamil Nadu,Health,870,34,COD,Desktop,Complete,22,1,4,1,Delivered
ORD105192,CUST12264,175,T2,Delhi,Home & Kitchen,"2,094",40%,Prepaid,Android App,Complete,23,2,3,0,Delivered
ORD103036,CUST10346,10,Tier 2,Assam,Electronics,"INR 2,230",24,COD,iOS App,,14,1,0,0,Delivered
ORD100004,CUST12230,118,Tier 1,RAJASTHAN,Health,"1,222",39,Prepaid,Android App,Partial,22,1,2,0,Delivered
ORD100135,CUST11931,270,Tier-2,Kerala,Health,"1,770",37%,Prepaid,Mobile Web,Complete,20,1,1,0,Delivered
ORD103843,CUST12286,170,tier2,Kerala,Electronics,"Rs.14,920",32%,COD,Android App,Complete,1,1,2,0,Returned
ORD106479,CUST12458,231,Tier-2,tamil nadu,Beauty,"Rs 1,514",34,Prepaid,Android App,Complete,13,1,2,0,Delivered
ORD104917,CUST11621,346,tier2,Punjab,Home & Kitchen,"1,905",4%,COD,Mobile Web,Complete,23,2,2,0,Delivered
ORD105507,CUST10292,134,T1,Delhi,Footwear,"2,209",31,Prepaid,Android App,Vague,6,1,2,0,Delivered
ORD106376,CUST10566,346,Tier 1,ASSAM,Accessories,"1,072",17%,Prepaid,Mobile Web,Complete,13,2,7,1,Delivered
ORD105731,CUST12467,54,Tier 2,Uttar Pradesh,Fashion,"Rs 1,188",0,COD,Mobile Web,Complete,7,1,1,0,Delivered
ORD100098,CUST12202,348,T1,Gujarat,Fashion,"1,810",0,COD,Mobile Web,Complete,5,1,3,1,Delivered
ORD101544,CUST11005,188,tier3,west bengal,Fashion,"INR 1,392",15%,Prepaid,Android App,Vague,20,2,1,0,Delivered
ORD102101,CUST11090,361,Tier-3,BIHAR,Fashion,"1,273",26,COD,Mobile Web,Vague,22,1,6,4,Delivered
ORD100536,CUST10367,66,Tier-2,West Bengal,Fashion,"INR 1,688",18,COD,Android App,Complete,15,3,0,0,Returned
ORD100589,CUST12356,76,Tier 3,Karnataka,Accessories,"1,403",28,COD,Mobile Web,Complete,9,3,1,0,Returned
ORD101554,CUST11437,228,tier3,Bihar,Beauty,"Rs.1,485",42,COD,Android App,Partial,23,2,1,0,Returned
ORD102503,CUST12243,362,tier2,Kerala,Home & Kitchen,479,5,Prepaid,Mobile Web,Complete,22,2,4,3,Delivered
ORD101403,CUST12592,86,tier1,West Bengal,Fashion,"1,995",12,COD,iOS App,Complete,1,3,1,0,Delivered
ORD104924,CUST10580,192,Tier-3,Rajasthan,Home & Kitchen,"INR 2,250",38%,Prepaid,Android App,Vague,18,2,1,1,Delivered
ORD106549,CUST10335,116,Tier-2,Bihar,Home & Kitchen,"1,860",5,COD,iOS App,Complete,23,1,1,0,Delivered
ORD101187,CUST12297,233,T1,jharkhand,Health,"2,182",17,Prepaid,Desktop,Complete,6,3,2,0,Delivered
ORD102545,CUST11773,18,T3,jharkhand,Fashion,837,11,COD,Android App,Partial,9,1,0,0,Returned
ORD104761,CUST11649,295,T2,Jharkhand,Beauty,740,0%,Prepaid,Android App,Complete,23,1,4,0,Delivered
ORD103797,CUST10881,161,TIER-1,tamil nadu,Home & Kitchen,"2,898",19,Prepaid,Android App,,15,2,1,0,Delivered
ORD103667,CUST12025,245,tier1,Assam,Electronics,"2,613",42%,COD,iOS App,Complete,1,3,4,0,Delivered
ORD100978,CUST11343,104,Tier-1,Karnataka,Home & Kitchen,"1,883",10,Prepaid,Mobile Web,Complete,2,2,0,0,Delivered
ORD106699,CUST11729,311,Tier 2,rajasthan,Home & Kitchen,"Rs.1,836",46%,COD,iOS App,Complete,19,2,4,0,Delivered
ORD103216,CUST11851,203,tier1,West Bengal,Accessories,839,5,Prepaid,Mobile Web,Complete,14,3,6,0,Delivered
ORD102817,CUST11045,153,tier1,Assam,Electronics,"7,099",15%,COD,Android App,Complete,0,1,1,0,Delivered
ORD102083,CUST11904,37,Tier 2,Haryana,Accessories,"1,260",0%,COD,Mobile Web,Complete,6,1,0,0,Returned
ORD102609,CUST11339,32,TIER-3,Rajasthan,Fashion,"2,938",7,COD,Android App,Partial,1,1,0,0,Delivered
ORD101049,CUST10975,226,tier3,Bihar,Electronics,"13,233",25,COD,Android App,Partial,15,2,3,1,Returned
ORD101172,CUST11245,37,TIER-1,MADHYA PRADESH,Accessories,Rs.471,26,Prepaid,Android App,Complete,20,2,1,0,Delivered
ORD103643,CUST10250,14,TIER-1,Haryana,Footwear,"Rs 1,100",22,COD,iOS App,Complete,12,2,0,0,Delivered
ORD104258,CUST11948,39,TIER-3,karnataka,Accessories,"1,215",32,COD,Android App,Partial,23,3,0,0,Returned
ORD102689,CUST10506,337,TIER-1,  Uttar Pradesh ,Electronics,"5,947",0%,Prepaid,Android App,,13,3,0,0,Delivered
ORD104185,CUST12415,350,tier2,Kerala,Fashion,"2,231",18%,Prepaid,iOS App,Complete,18,3,2,1,Delivered
ORD101792,CUST10656,192,tier1,GUJARAT,Fashion,"Rs.2,145",21,Prepaid,Android App,,14,1,4,0,Delivered
ORD107060,CUST11066,200,T1,KERALA,Beauty,Rs 992,34%,Prepaid,Android App,Complete,9,1,1,0,Delivered
ORD101702,CUST11396,199,Tier-1,Rajasthan,Health,"1,115",33%,COD,,Complete,0,1,4,0,Delivered
ORD103019,CUST10211,78,tier1,Andhra Pradesh,Electronics,"Rs.5,874",8%,Prepaid,iOS App,Partial,12,1,0,0,Delivered
ORD102636,CUST12505,0,tier3,Karnataka,Fashion,"INR 1,658",18%,COD,Mobile Web,Vague,13,1,0,0,Returned
ORD103595,CUST10295,101,T2,Bihar,Fashion,"2,224",0,COD,Mobile Web,Complete,8,2,2,0,Delivered
ORD102414,CUST10258,297,Tier-2,andhra pradesh,Beauty,"1,271",43%,COD,Mobile Web,Complete,20,1,1,0,Returned
ORD106744,CUST11851,362,Tier 1,West Bengal,Fashion,"Rs 2,148",29,COD,Android App,Complete,16,1,8,0,Delivered
ORD102493,CUST11982,168,Tier 1,West Bengal,Fashion,857,26%,Prepaid,Mobile Web,Complete,3,1,0,0,Delivered
ORD101629,CUST12193,276,tier1,West Bengal,Fashion,Rs.583,17%,COD,Android App,Complete,18,1,0,0,Delivered
ORD104411,CUST10413,199,TIER-2,Rajasthan,Health,554,4%,COD,Mobile Web,Complete,6,2,1,0,Delivered
ORD104693,CUST12570,286,Tier 1,Maharashtra,Fashion,"Rs 2,276",33%,COD,Mobile Web,Complete,1,2,3,0,Delivered
ORD102388,CUST11488,315,Tier-2,Haryana,Home & Kitchen,"Rs.3,534",18,COD,Mobile Web,,7,2,2,0,Delivered
ORD102870,CUST11069,280,TIER-1,Rajasthan,Electronics,"4,751",22,Prepaid,iOS App,Complete,4,2,1,1,Delivered
ORD103076,CUST12046,113,Tier-1,Jharkhand,Fashion,"INR 1,198",12,Prepaid,Mobile Web,Complete,4,3,2,0,Delivered
ORD103090,CUST11072,262,tier3,Karnataka,Fashion,"2,063",24,Prepaid,Desktop,Complete,1,3,5,0,Delivered
ORD106505,CUST11626,236,T3,Delhi,Footwear,"2,128",0%,COD,,Complete,22,2,3,2,Returned
ORD102713,CUST12549,217,Tier 3,Gujarat,Beauty,"1,395",2,Prepaid,Android App,Vague,13,1,4,0,Delivered
ORD102562,CUST10574,349,tier2,Telangana,Fashion,"1,012",30,Prepaid,iOS App,Complete,16,1,4,0,Delivered
ORD101824,CUST10992,360,tier2,Gujarat,Beauty,787,19,COD,Android App,Vague,9,2,3,1,Delivered
ORD102779,CUST10395,32,Tier 2,Kerala,Fashion,"2,405",23,Prepaid,Android App,Partial,9,1,0,0,Delivered
ORD101046,CUST12317,240,Tier 3,Odisha,Accessories,"Rs.1,675",27%,Prepaid,Mobile Web,,13,1,3,1,Delivered
ORD101140,CUST10007,240,T3,MAHARASHTRA,Electronics,"Rs 5,317",0,Prepaid,Android App,Partial,9,2,2,2,Delivered
ORD102301,CUST12463,11,tier2,ODISHA,Accessories,"1,379",57,COD,Android App,Complete,6,1,1,0,Delivered
ORD104275,CUST10778,225,T1,Telangana,Home & Kitchen,"3,152",30,Prepaid,Desktop,Complete,10,1,1,0,Delivered
ORD103699,CUST11209,18,Tier 2,TELANGANA,Home & Kitchen,"4,234",36,COD,Android App,Complete,20,2,0,0,Delivered
ORD103704,CUST12340,22,T2,Punjab,Home & Kitchen,"Rs 1,653",16,COD,iOS App,Complete,9,2,0,0,Delivered
ORD103000,CUST11262,310,Tier 3,Punjab,Electronics,"4,145",0%,COD,Android App,Complete,13,2,3,1,Delivered
